year;n;name;tipo
1-Dec-19;258;Andalucia;Agresión sexual con penetración 
1-Dec-19;82;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Dec-19;91298;Andalucia;Hurtos 
1-Dec-19;22452;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-19;7302;Andalucia;Robos con violencia e intimidación 
1-Dec-19;31;Andalucia;Secuestro 
1-Dec-19;6511;Andalucia;Sustracciones de vehículos 
1-Dec-19;4366;Andalucia;Tráfico de drogas 
1-Mar-20;57;Andalucia;Agresión sexual con penetración 
1-Mar-20;18;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Mar-20;18071;Andalucia;Hurtos 
1-Mar-20;5202;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-20;1579;Andalucia;Robos con violencia e intimidación 
1-Mar-20;6;Andalucia;Secuestro 
1-Mar-20;134;Andalucia;Sustracciones de vehículos 
1-Mar-20;104;Andalucia;Tráfico de drogas 
1-Jun-20;101;Andalucia;Agresión sexual con penetración 
1-Jun-20;30;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Jun-20;25936;Andalucia;Hurtos 
1-Jun-20;8289;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-20;2368;Andalucia;Robos con violencia e intimidación 
1-Jun-20;11;Andalucia;Secuestro 
1-Jun-20;2096;Andalucia;Sustracciones de vehículos 
1-Jun-20;2138;Andalucia;Tráfico de drogas 
1-Sep-20;173;Andalucia;Agresión sexual con penetración 
1-Sep-20;48;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Sep-20;43806;Andalucia;Hurtos 
1-Sep-20;13432;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-20;3992;Andalucia;Robos con violencia e intimidación 
1-Sep-20;17;Andalucia;Secuestro 
1-Sep-20;361;Andalucia;Sustracciones de vehículos 
1-Sep-20;3446;Andalucia;Tráfico de drogas 
1-Dec-20;238;Andalucia;Agresión sexual con penetración 
1-Dec-20;61;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Dec-20;57435;Andalucia;Hurtos 
1-Dec-20;17587;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-20;5187;Andalucia;Robos con violencia e intimidación 
1-Dec-20;21;Andalucia;Secuestro 
1-Dec-20;4821;Andalucia;Sustracciones de vehículos 
1-Dec-20;4679;Andalucia;Tráfico de drogas 
1-Mar-21;56;Andalucia;Agresión sexual con penetración 
1-Mar-21;16;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Mar-21;13153;Andalucia;Hurtos 
1-Mar-21;3655;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-21;1176;Andalucia;Robos con violencia e intimidación 
1-Mar-21;2;Andalucia;Secuestro 
1-Mar-21;978;Andalucia;Sustracciones de vehículos 
1-Mar-21;1131;Andalucia;Tráfico de drogas 
1-Jun-21;141;Andalucia;Agresión sexual con penetración 
1-Jun-21;29;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Jun-21;29541;Andalucia;Hurtos 
1-Jun-21;7458;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-21;2545;Andalucia;Robos con violencia e intimidación 
1-Jun-21;11;Andalucia;Secuestro 
1-Jun-21;2277;Andalucia;Sustracciones de vehículos 
1-Jun-21;2423;Andalucia;Tráfico de drogas 
1-Sep-21;212;Andalucia;Agresión sexual con penetración 
1-Sep-21;43;Andalucia;Homicidios dolosos y asesinatos consumados 
1-Sep-21;49288;Andalucia;Hurtos 
1-Sep-21;12029;Andalucia;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-21;4097;Andalucia;Robos con violencia e intimidación 
