year,n,name,annio,periodo,mes,parametro
20191201,258,Andalucia,2019,Trimestre 4,12,Agresión sexual con penetración
20191201,82,Andalucia,2019,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20191201,91298,Andalucia,2019,Trimestre 4,12,Hurtos
20191201,22452,Andalucia,2019,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20191201,7302,Andalucia,2019,Trimestre 4,12,Robos con violencia e intimidación
20191201,31,Andalucia,2019,Trimestre 4,12,Secuestro
20191201,6511,Andalucia,2019,Trimestre 4,12,Sustracciones de vehículos
20191201,4366,Andalucia,2019,Trimestre 4,12,Tráfico de drogas
20200301,57,Andalucia,2020,Trimestre 1,3,Agresión sexual con penetración
20200301,18,Andalucia,2020,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20200301,18071,Andalucia,2020,Trimestre 1,3,Hurtos
20200301,5202,Andalucia,2020,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200301,1579,Andalucia,2020,Trimestre 1,3,Robos con violencia e intimidación
20200301,6,Andalucia,2020,Trimestre 1,3,Secuestro
20200301,134,Andalucia,2020,Trimestre 1,3,Sustracciones de vehículos
20200301,104,Andalucia,2020,Trimestre 1,3,Tráfico de drogas
20200601,101,Andalucia,2020,Trimestre 2,6,Agresión sexual con penetración
20200601,30,Andalucia,2020,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20200601,25936,Andalucia,2020,Trimestre 2,6,Hurtos
20200601,8289,Andalucia,2020,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200601,2368,Andalucia,2020,Trimestre 2,6,Robos con violencia e intimidación
20200601,11,Andalucia,2020,Trimestre 2,6,Secuestro
20200601,2096,Andalucia,2020,Trimestre 2,6,Sustracciones de vehículos
20200601,2138,Andalucia,2020,Trimestre 2,6,Tráfico de drogas
20200901,173,Andalucia,2020,Trimestre 3,9,Agresión sexual con penetración
20200901,48,Andalucia,2020,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20200901,43806,Andalucia,2020,Trimestre 3,9,Hurtos
20200901,13432,Andalucia,2020,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200901,3992,Andalucia,2020,Trimestre 3,9,Robos con violencia e intimidación
20200901,17,Andalucia,2020,Trimestre 3,9,Secuestro
20200901,361,Andalucia,2020,Trimestre 3,9,Sustracciones de vehículos
20200901,3446,Andalucia,2020,Trimestre 3,9,Tráfico de drogas
20201201,238,Andalucia,2020,Trimestre 4,12,Agresión sexual con penetración
20201201,61,Andalucia,2020,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20201201,57435,Andalucia,2020,Trimestre 4,12,Hurtos
20201201,17587,Andalucia,2020,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20201201,5187,Andalucia,2020,Trimestre 4,12,Robos con violencia e intimidación
20201201,21,Andalucia,2020,Trimestre 4,12,Secuestro
20201201,4821,Andalucia,2020,Trimestre 4,12,Sustracciones de vehículos
20201201,4679,Andalucia,2020,Trimestre 4,12,Tráfico de drogas
20210301,56,Andalucia,2021,Trimestre 1,3,Agresión sexual con penetración
20210301,16,Andalucia,2021,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20210301,13153,Andalucia,2021,Trimestre 1,3,Hurtos
20210301,3655,Andalucia,2021,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210301,1176,Andalucia,2021,Trimestre 1,3,Robos con violencia e intimidación
20210301,2,Andalucia,2021,Trimestre 1,3,Secuestro
20210301,978,Andalucia,2021,Trimestre 1,3,Sustracciones de vehículos
20210301,1131,Andalucia,2021,Trimestre 1,3,Tráfico de drogas
20210601,141,Andalucia,2021,Trimestre 2,6,Agresión sexual con penetración
20210601,29,Andalucia,2021,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20210601,29541,Andalucia,2021,Trimestre 2,6,Hurtos
20210601,7458,Andalucia,2021,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210601,2545,Andalucia,2021,Trimestre 2,6,Robos con violencia e intimidación
20210601,11,Andalucia,2021,Trimestre 2,6,Secuestro
20210601,2277,Andalucia,2021,Trimestre 2,6,Sustracciones de vehículos
20210601,2423,Andalucia,2021,Trimestre 2,6,Tráfico de drogas
20210901,212,Andalucia,2021,Trimestre 3,9,Agresión sexual con penetración
20210901,43,Andalucia,2021,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20210901,49288,Andalucia,2021,Trimestre 3,9,Hurtos
20210901,12029,Andalucia,2021,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210901,4097,Andalucia,2021,Trimestre 3,9,Robos con violencia e intimidación
20210901,18,Andalucia,2021,Trimestre 3,9,Secuestro
20210901,3656,Andalucia,2021,Trimestre 3,9,Sustracciones de vehículos
20210901,3676,Andalucia,2021,Trimestre 3,9,Tráfico de drogas
20211201,281,Andalucia,2021,Trimestre 4,12,Agresión sexual con penetración
20211201,55,Andalucia,2021,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20211201,68916,Andalucia,2021,Trimestre 4,12,Hurtos
20211201,16381,Andalucia,2021,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20211201,5911,Andalucia,2021,Trimestre 4,12,Robos con violencia e intimidación
20211201,27,Andalucia,2021,Trimestre 4,12,Secuestro
20211201,4848,Andalucia,2021,Trimestre 4,12,Sustracciones de vehículos
20211201,4816,Andalucia,2021,Trimestre 4,12,Tráfico de drogas
20220301,76,Andalucia,2022,Trimestre 1,3,Agresión sexual con penetración
20220301,13,Andalucia,2022,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20220301,20242,Andalucia,2022,Trimestre 1,3,Hurtos
20220301,4404,Andalucia,2022,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20220301,1792,Andalucia,2022,Trimestre 1,3,Robos con violencia e intimidación
20220301,4,Andalucia,2022,Trimestre 1,3,Secuestro
20220301,1207,Andalucia,2022,Trimestre 1,3,Sustracciones de vehículos
20220301,1132,Andalucia,2022,Trimestre 1,3,Tráfico de drogas
20191201,557,Cataluna,2019,Trimestre 4,12,Agresión sexual con penetración
20191201,58,Cataluna,2019,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20191201,192053,Cataluna,2019,Trimestre 4,12,Hurtos
20191201,33763,Cataluna,2019,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20191201,26448,Cataluna,2019,Trimestre 4,12,Robos con violencia e intimidación
20191201,6,Cataluna,2019,Trimestre 4,12,Secuestro
20191201,9711,Cataluna,2019,Trimestre 4,12,Sustracciones de vehículos
20191201,2615,Cataluna,2019,Trimestre 4,12,Tráfico de drogas
20200301,90,Cataluna,2020,Trimestre 1,3,Agresión sexual con penetración
20200301,13,Cataluna,2020,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20200301,3491,Cataluna,2020,Trimestre 1,3,Hurtos
20200301,7342,Cataluna,2020,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200301,5073,Cataluna,2020,Trimestre 1,3,Robos con violencia e intimidación
20200301,0,Cataluna,2020,Trimestre 1,3,Secuestro
20200301,1795,Cataluna,2020,Trimestre 1,3,Sustracciones de vehículos
20200301,582,Cataluna,2020,Trimestre 1,3,Tráfico de drogas
20200601,194,Cataluna,2020,Trimestre 2,6,Agresión sexual con penetración
20200601,27,Cataluna,2020,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20200601,5704,Cataluna,2020,Trimestre 2,6,Hurtos
20200601,12012,Cataluna,2020,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200601,8459,Cataluna,2020,Trimestre 2,6,Robos con violencia e intimidación
20200601,1,Cataluna,2020,Trimestre 2,6,Secuestro
20200601,2992,Cataluna,2020,Trimestre 2,6,Sustracciones de vehículos
20200601,1401,Cataluna,2020,Trimestre 2,6,Tráfico de drogas
20200901,319,Cataluna,2020,Trimestre 3,9,Agresión sexual con penetración
20200901,43,Cataluna,2020,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
