date;n;comunidad
2013;91298;Andalucia
2014;18071;Andalucia
2015;25936;Andalucia
2016;43806;Andalucia
2017;57435;Andalucia
2018;13153;Andalucia
2019;29541;Andalucia
2020;49288;Andalucia
2021;68916;Andalucia
2022;20242;Andalucia
2013;192053;Catalunnia
2014;3491;Catalunnia
2015;5704;Catalunnia
2016;86559;Catalunnia
2017;110685;Catalunnia
2018;22363;Catalunnia
2019;50053;Catalunnia
2020;83899;Catalunnia
2021;118746;Catalunnia
2022;34391;Catalunnia
2013;68122;Comunidad Valenciana
2014;12676;Comunidad Valenciana
2015;17606;Comunidad Valenciana
2016;31739;Comunidad Valenciana
2017;43801;Comunidad Valenciana
2018;10113;Comunidad Valenciana
2019;23868;Comunidad Valenciana
2020;42044;Comunidad Valenciana
2021;57738;Comunidad Valenciana
2022;15585;Comunidad Valenciana
2013;154169;Madrid
2014;34364;Madrid
2015;44596;Madrid
2016;67722;Madrid
2017;92213;Madrid
2018;24453;Madrid
2019;5027;Madrid
2020;75929;Madrid
2021;108778;Madrid
2022;34079;Madrid
