year,name,n
2013,Andalucia,91298
2014,Andalucia,18071
2015,Andalucia,25936
2016,Andalucia,43806
2017,Andalucia,57435
2018,Andalucia,13153
2019,Andalucia,29541
2020,Andalucia,49288
2021,Andalucia,68916
2022,Andalucia,20242
2013,Catalunnia,192053
2014,Catalunnia,3491
2015,Catalunnia,5704
2016,Catalunnia,86559
2017,Catalunnia,110685
2018,Catalunnia,22363
2019,Catalunnia,50053
2020,Catalunnia,83899
2021,Catalunnia,118746
2022,Catalunnia,34391
2013,Comunidad Valenciana,68122
2014,Comunidad Valenciana,12676
2015,Comunidad Valenciana,17606
2016,Comunidad Valenciana,31739
2017,Comunidad Valenciana,43801
2018,Comunidad Valenciana,10113
2019,Comunidad Valenciana,23868
2020,Comunidad Valenciana,42044
2021,Comunidad Valenciana,57738
2022,Comunidad Valenciana,15585
2013,Madrid,154169
2014,Madrid,34364
2015,Madrid,44596
2016,Madrid,67722
2017,Madrid,92213
2018,Madrid,24453
2019,Madrid,5027
2020,Madrid,75929
2021,Madrid,108778
2022,Madrid,34079
